dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
immuneindonesia	T_others	age	68224	0	0.0	observed
immuneindonesia	T_others	batch	68224	0	0.0	observed
immuneindonesia	T_others	chemistry	68224	0	0.0	observed
immuneindonesia	T_others	ctype_high	68224	0	0.0	observed
immuneindonesia	T_others	ctype_high_conf	68224	0	0.0	observed
immuneindonesia	T_others	ctype_low	68224	0	0.0	observed
immuneindonesia	T_others	ctype_low_conf	68224	0	0.0	observed
immuneindonesia	T_others	dataset	68224	0	0.0	observed
immuneindonesia	T_others	donor_id	68224	0	0.0	observed
immuneindonesia	T_others	lineage	68224	0	0.0	observed
immuneindonesia	T_others	pct_mt	68224	0	0.0	observed
immuneindonesia	T_others	sample_id	68224	0	0.0	observed
immuneindonesia	T_others	sex	68224	0	0.0	observed
immunobiologyaging	T_others	age	410122	0	0.0	observed
immunobiologyaging	T_others	batch	410122	0	0.0	observed
immunobiologyaging	T_others	chemistry	410122	0	0.0	observed
immunobiologyaging	T_others	ctype_high	410122	0	0.0	observed
immunobiologyaging	T_others	ctype_high_conf	410122	0	0.0	observed
immunobiologyaging	T_others	ctype_low	410122	0	0.0	observed
immunobiologyaging	T_others	ctype_low_conf	410122	0	0.0	observed
immunobiologyaging	T_others	dataset	410122	0	0.0	observed
immunobiologyaging	T_others	donor_id	410122	0	0.0	observed
immunobiologyaging	T_others	lineage	410122	0	0.0	observed
immunobiologyaging	T_others	pct_mt	410122	0	0.0	observed
immunobiologyaging	T_others	sample_id	410122	0	0.0	observed
immunobiologyaging	T_others	sex	410122	0	0.0	observed
onek1k	T_others	age	190600	0	0.0	observed
onek1k	T_others	batch	190600	0	0.0	observed
onek1k	T_others	chemistry	190600	0	0.0	observed
onek1k	T_others	ctype_high	190600	0	0.0	observed
onek1k	T_others	ctype_high_conf	190600	0	0.0	observed
onek1k	T_others	ctype_low	190600	0	0.0	observed
onek1k	T_others	ctype_low_conf	190600	0	0.0	observed
onek1k	T_others	dataset	190600	0	0.0	observed
onek1k	T_others	donor_id	190600	0	0.0	observed
onek1k	T_others	lineage	190600	0	0.0	observed
onek1k	T_others	pct_mt	190600	0	0.0	observed
onek1k	T_others	sample_id	190600	0	0.0	observed
onek1k	T_others	sex	190600	0	0.0	observed
terekhova	T_others	age	165984	0	0.0	observed
terekhova	T_others	batch	165984	0	0.0	observed
terekhova	T_others	chemistry	165984	0	0.0	observed
terekhova	T_others	ctype_high	165984	0	0.0	observed
terekhova	T_others	ctype_high_conf	165984	0	0.0	observed
terekhova	T_others	ctype_low	165984	0	0.0	observed
terekhova	T_others	ctype_low_conf	165984	0	0.0	observed
terekhova	T_others	dataset	165984	0	0.0	observed
terekhova	T_others	donor_id	165984	0	0.0	observed
terekhova	T_others	lineage	165984	0	0.0	observed
terekhova	T_others	pct_mt	165984	0	0.0	observed
terekhova	T_others	sample_id	165984	0	0.0	observed
terekhova	T_others	sex	165984	0	0.0	observed
aidav2	pDC	age	3864	0	0.0	observed
aidav2	pDC	batch	3864	0	0.0	observed
