dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
onek1k	CD8_like	Tcm/Naive cytotoxic T cells	51078	978	75	0	0.9491918706934244	0	9548	0.7001499433179976	0.7795493215829501	0.9293055675850835	0.9830932479448914	0.9971647284368937	0.9997885973398566	0.9999991337194641
onek1k	CD8_like	Tem/Temra cytotoxic T cells	56103	977	75	0	0.9014559307312069	0	22803	0.7000149307081757	0.7301103101226519	0.8369443268736897	0.9286478859653436	0.978618032782905	0.9975388754053254	0.9999948028016732
onek1k	CD8_like	Tem/Trm cytotoxic T cells	31429	980	75	0	0.9109474273985292	0	11388	0.700012376823027	0.7364847987674127	0.8532538716254948	0.9416398986256207	0.9841484884586648	0.9981552526386461	0.9999940931377516
terekhova	CD8_like	Tcm/Naive cytotoxic T cells	117497	166	317	0	0.9821984846645696	0	7333	0.7000319054318767	0.8777472860322811	0.9936419517666232	0.9996218189508129	0.999973723798972	0.9999991412848799	0.9999999998978872
terekhova	CD8_like	Tem/Temra cytotoxic T cells	102203	166	317	0	0.9467921517256197	0	20768	0.7000025158377783	0.7662143382141199	0.9239889585760501	0.9848786341422309	0.9981439570671028	0.9999354871939236	0.9999999974540288
terekhova	CD8_like	Tem/Trm cytotoxic T cells	50542	166	317	0	0.9540238685170584	0	8890	0.7000066965391465	0.7775304777019876	0.9403807904895323	0.9910767732658925	0.9990890213134702	0.9999665974332504	0.9999999998608213
aidav2	DC	DC1	734	334	334	0	0.9567510906365663	34	69	0.011984425472745747	0.719460029356682	0.99019968199805	0.9988902933443391	0.9998846509801558	0.9999922055821503	0.9999999991372173
aidav2	DC	DC2	10066	568	568	0	0.9621138326286457	342	1005	0.022154264345048476	0.7830687169946604	0.9807451293077565	0.9977085770800607	0.9997007520135641	0.9999838908797908	0.9999999832263052
immuneindonesia	DC	Classical monocytes	800	150	150	0	0.7677151085500106	239	423	0.007977866126464285	0.18748235170886146	0.6320238541676397	0.8814928655242225	0.9779144578077297	0.9985039203591515	0.9999925799811742
immuneindonesia	DC	DC1	193	96	96	0	0.8415036386924395	42	62	0.03711338259293576	0.23303689187388915	0.806453457810559	0.9854305312961525	0.9988378590105317	0.9999499875101353	0.9999998861940947
immuneindonesia	DC	DC2	1428	171	171	0	0.7485852846004436	467	763	0.007083133342348621	0.13760724419690196	0.5755196055839253	0.8768324616448387	0.9772504031067419	0.997860055777387	0.9999994075676998
immunobiologyaging	DC	DC1	513	159	159	0	0.9765192623780597	14	23	0.031749813536358557	0.9254905656871287	0.9985528359655506	0.9998902692858935	0.9999873307454834	0.9999995931222083	0.9999999983593297
immunobiologyaging	DC	DC2	11099	233	233	0	0.924708580253543	955	2054	0.009980332036608109	0.5388771156981584	0.9475682098295339	0.993936812536278	0.9992850614839933	0.9999574801801296	0.9999999444131134
